State,County,Cluster,Name of organization,Acronym,Type,Reporting Month
Central Equatoria,Juba,Protection,Nile Hope,Nile Hope,NNGO,Jan-25
Central Equatoria,Juba,Protection,Nonviolent Peaceforce,NP,INGO,Jan-25
Central Equatoria,Juba,Protection,People's Initiative Development Organization,PIDO,NNGO,Jan-25
Central Equatoria,Juba,Protection,Reach Alternatives,REALs,INGO,Jan-25
Central Equatoria,Juba,Protection,SafeLane Global,SLG,INGO,Jan-25
Central Equatoria,Juba,Protection,The Development Initiative,TDI,NNGO,Jan-25
Central Equatoria,Juba,Protection,United Nations High Commissioner for Refugees,UNHCR,UN,Jan-25
Central Equatoria,Juba,Protection,United Nations Children's Fund,UNICEF,UN,Jan-25
Central Equatoria,Juba,Protection,United Nations Mine Action Service,UNMAS,UN,Jan-25
Central Equatoria,Juba,Protection,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Central Equatoria,Juba,Protection,Youth Vision Development Foundation,YVDF,NNGO,Jan-25
Central Equatoria,Juba,WASH,Jamnel Care Organization,Jamnel Care,NNGO,Jan-25
Central Equatoria,Juba,WASH,Malteser International Order of Malta Worldwide Relief,Malteser,INGO,Jan-25
Central Equatoria,Juba,WASH,Nile Sustainable Development Organization,NSDO,NNGO,Jan-25
Central Equatoria,Juba,WASH,South Sudan Grassroots Initiative for Development,SSGID,NNGO,Jan-25
Central Equatoria,Juba,WASH,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Central Equatoria,Kajo-Keji,Education,Plan International,Plan,INGO,Jan-25
Central Equatoria,Kajo-Keji,FSL,Across Africa Development Organization,AADO,NNGO,Jan-25
Central Equatoria,Kajo-Keji,FSL,Christoffel-Blindenmission Christian Blind Mission e.V.,CBCBM,INGO,Jan-25
Central Equatoria,Kajo-Keji,Health,GOAL,GOAL,INGO,Jan-25
Central Equatoria,Kajo-Keji,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Central Equatoria,Kajo-Keji,Logistics,World Food Programme,WFP,UN,Jan-25
Central Equatoria,Kajo-Keji,Nutrition,American Refugee Committee (Alight),ARC (Alight),INGO,Jan-25
Central Equatoria,Kajo-Keji,Nutrition,United Nations Children's Fund,UNICEF,UN,Jan-25
Central Equatoria,Kajo-Keji,Protection,Peace and Development Partners,PDP,NNGO,Jan-25
Central Equatoria,Kajo-Keji,Protection,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Central Equatoria,Kajo-Keji,WASH,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Central Equatoria,Lainya,Education,Action for Children and Women Organization,ACWO,NNGO,Jan-25
Central Equatoria,Lainya,FSL,Across Africa Development Organization,AADO,NNGO,Jan-25
Central Equatoria,Lainya,FSL,Christoffel-Blindenmission Christian Blind Mission e.V.,CBCBM,INGO,Jan-25
Central Equatoria,Lainya,Health,Compassionate Institute for Street Children,CIS,NNGO,Jan-25
Central Equatoria,Lainya,Protection,Group 4 Securicor,G4S,INGO,Jan-25
Central Equatoria,Lainya,Protection,Institute for Promotion of Civil Society,IPCS,NNGO,Jan-25
Central Equatoria,Lainya,Protection,Mission to Alleviate Suffering In South Sudan,MASS,NNGO,Jan-25
Central Equatoria,Lainya,Protection,United Nations Children's Fund,UNICEF,UN,Jan-25
Central Equatoria,Lainya,Protection,United Nations Mine Action Service,UNMAS,UN,Jan-25
Central Equatoria,Morobo,Education,Plan International,Plan,INGO,Jan-25
Central Equatoria,Morobo,Nutrition,American Refugee Committee (Alight),ARC (Alight),INGO,Jan-25
Central Equatoria,Morobo,Nutrition,United Nations Children's Fund,UNICEF,UN,Jan-25
Central Equatoria,Morobo,Protection,Group 4 Securicor,G4S,INGO,Jan-25
Central Equatoria,Morobo,Protection,United Nations Mine Action Service,UNMAS,UN,Jan-25
Central Equatoria,Terekeka,Education,Compassionate Institute for Street Children,CIS,NNGO,Jan-25
Central Equatoria,Terekeka,Health,Impact Health Organization,IHO,NNGO,Jan-25
Central Equatoria,Terekeka,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Central Equatoria,Terekeka,Protection,Impact Health Organization,IHO,NNGO,Jan-25
Central Equatoria,Terekeka,Protection,Peace and Development Partners,PDP,NNGO,Jan-25
Central Equatoria,Terekeka,Protection,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Central Equatoria,Terekeka,WASH,Impact Health Organization,IHO,NNGO,Jan-25
Central Equatoria,Terekeka,WASH,South Sudan Red Cross,SSRC,NNGO,Jan-25
Central Equatoria,Terekeka,WASH,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Central Equatoria,Yei,Education,Plan International,Plan,INGO,Jan-25
Central Equatoria,Yei,FSL,Agency for Technical Cooperation and Development,ACTED,INGO,Jan-25
Central Equatoria,Yei,FSL,Food and Agriculture Organization of the United Nations,FAO,UN,Jan-25
Central Equatoria,Yei,FSL,Malteser International Order of Malta Worldwide Relief,Malteser,INGO,Jan-25
Central Equatoria,Yei,Health,Malteser International Order of Malta Worldwide Relief,Malteser,INGO,Jan-25
Central Equatoria,Yei,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Central Equatoria,Yei,Logistics,World Food Programme,WFP,UN,Jan-25
Central Equatoria,Yei,Protection,Group 4 Securicor,G4S,INGO,Jan-25
Central Equatoria,Yei,Protection,Institute for Promotion of Civil Society,IPCS,NNGO,Jan-25
Central Equatoria,Yei,Protection,Mission to Alleviate Suffering In South Sudan,MASS,NNGO,Jan-25
Central Equatoria,Yei,Protection,Peace and Development Partners,PDP,NNGO,Jan-25
Central Equatoria,Yei,Protection,Plan International,Plan,INGO,Jan-25
Central Equatoria,Yei,Protection,United Nations Children's Fund,UNICEF,UN,Jan-25
Central Equatoria,Yei,Protection,United Nations Mine Action Service,UNMAS,UN,Jan-25
Central Equatoria,Yei,Protection,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Central Equatoria,Yei,WASH,Malteser International Order of Malta Worldwide Relief,Malteser,INGO,Jan-25
Central Equatoria,Yei,WASH,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Budi,Education,Support For Peace And Education Development Programme,SPEDP,NNGO,Jan-25
Eastern Equatoria,Budi,Education,Women Advancement Organization,WAO,NNGO,Jan-25
Eastern Equatoria,Budi,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Budi,Nutrition,Health Link South Sudan,HLSS,NNGO,Jan-25
Eastern Equatoria,Budi,Nutrition,United Nations Children's Fund,UNICEF,UN,Jan-25
Eastern Equatoria,Budi,Protection,ROOT OF GENERATIONS,ROG,NNGO,Jan-25
Eastern Equatoria,Budi,Protection,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Budi,WASH,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Ikotos,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Ikotos,Nutrition,Associazione Volontari per il Servizio Internazionale,AVSI,INGO,Jan-25
Eastern Equatoria,Ikotos,Nutrition,Health Link South Sudan,HLSS,NNGO,Jan-25
Eastern Equatoria,Ikotos,Nutrition,United Nations Children's Fund,UNICEF,UN,Jan-25
Eastern Equatoria,Ikotos,Protection,Peace and Development Partners,PDP,NNGO,Jan-25
Eastern Equatoria,Ikotos,Protection,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Ikotos,WASH,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Kapoeta East,Health,Islamic Relief Worldwide,IRW,INGO,Jan-25
Eastern Equatoria,Kapoeta East,Health,Touch Africa Development Organization,TADO,NNGO,Jan-25
Eastern Equatoria,Kapoeta East,Nutrition,Andre Foods South Sudan,AFSS,NNGO,Jan-25
Eastern Equatoria,Kapoeta East,Nutrition,Islamic Relief Worldwide,IRW,INGO,Jan-25
Eastern Equatoria,Kapoeta East,Nutrition,United Nations Children's Fund,UNICEF,UN,Jan-25
Eastern Equatoria,Kapoeta East,Nutrition,World Food Programme,WFP,UN,Jan-25
Eastern Equatoria,Kapoeta East,Protection,Caritas Torit South Sudan,Caritas Torit South Sudan,INGO,Jan-25
Eastern Equatoria,Kapoeta East,Protection,Group 4 Securicor,G4S,INGO,Jan-25
Eastern Equatoria,Kapoeta East,Protection,Peace and Development Partners,PDP,NNGO,Jan-25
Eastern Equatoria,Kapoeta East,Protection,Save the Children International,SCI,INGO,Jan-25
Eastern Equatoria,Kapoeta East,Protection,United Nations Children's Fund,UNICEF,UN,Jan-25
Eastern Equatoria,Kapoeta East,Protection,United Nations Mine Action Service,UNMAS,UN,Jan-25
Eastern Equatoria,Kapoeta North,Education,Women Advancement Organization,WAO,NNGO,Jan-25
Eastern Equatoria,Kapoeta North,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Kapoeta North,Logistics,World Food Programme,WFP,UN,Jan-25
Eastern Equatoria,Kapoeta North,Nutrition,Save the Children International,SCI,INGO,Jan-25
Eastern Equatoria,Kapoeta North,Protection,Peace and Development Partners,PDP,NNGO,Jan-25
Eastern Equatoria,Kapoeta North,Protection,Save the Children International,SCI,INGO,Jan-25
Eastern Equatoria,Kapoeta North,Protection,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Kapoeta North,WASH,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Kapoeta South,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Kapoeta South,Logistics,World Food Programme,WFP,UN,Jan-25
Eastern Equatoria,Kapoeta South,Nutrition,Andre Foods South Sudan,AFSS,NNGO,Jan-25
Eastern Equatoria,Kapoeta South,Nutrition,United Nations Children's Fund,UNICEF,UN,Jan-25
Eastern Equatoria,Kapoeta South,Nutrition,World Food Programme,WFP,UN,Jan-25
Eastern Equatoria,Kapoeta South,Protection,Group 4 Securicor,G4S,INGO,Jan-25
Eastern Equatoria,Kapoeta South,Protection,Peace and Development Partners,PDP,NNGO,Jan-25
Eastern Equatoria,Kapoeta South,Protection,ROOT OF GENERATIONS,ROG,NNGO,Jan-25
Eastern Equatoria,Kapoeta South,Protection,Save the Children International,SCI,INGO,Jan-25
Eastern Equatoria,Kapoeta South,Protection,United Nations Mine Action Service,UNMAS,UN,Jan-25
Eastern Equatoria,Kapoeta South,Protection,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Kapoeta South,WASH,Community Emergency Response and Development,CERD,NNGO,Jan-25
Eastern Equatoria,Kapoeta South,WASH,Compassionate Institute for Street Children,CIS,NNGO,Jan-25
Eastern Equatoria,Kapoeta South,WASH,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Lafon,FSL,Food Against Hunger,FAH,NNGO,Jan-25
Eastern Equatoria,Lafon,Nutrition,Health Link South Sudan,HLSS,NNGO,Jan-25
Eastern Equatoria,Lafon,Nutrition,United Nations Children's Fund,UNICEF,UN,Jan-25
Eastern Equatoria,Magwi,Education,Drop In The Bucket,DITB,INGO,Jan-25
Eastern Equatoria,Magwi,FSL,Agency for Technical Cooperation and Development,ACTED,INGO,Jan-25
Eastern Equatoria,Magwi,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Magwi,Logistics,World Food Programme,WFP,UN,Jan-25
Eastern Equatoria,Magwi,Nutrition,Impact Health Organization,IHO,NNGO,Jan-25
Eastern Equatoria,Magwi,Protection,Group 4 Securicor,G4S,INGO,Jan-25
Eastern Equatoria,Magwi,Protection,Impact Health Organization,IHO,NNGO,Jan-25
Eastern Equatoria,Magwi,Protection,Save the Children International,SCI,INGO,Jan-25
Eastern Equatoria,Magwi,Protection,The Development Initiative,TDI,NNGO,Jan-25
Eastern Equatoria,Magwi,Protection,United Nations Mine Action Service,UNMAS,UN,Jan-25
Eastern Equatoria,Magwi,Protection,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Magwi,WASH,Impact Health Organization,IHO,NNGO,Jan-25
Eastern Equatoria,Magwi,WASH,South Sudan Red Cross,SSRC,NNGO,Jan-25
Eastern Equatoria,Magwi,WASH,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Torit,Education,Windle Trust International,WTI,INGO,Jan-25
Eastern Equatoria,Torit,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Torit,Logistics,World Food Programme,WFP,UN,Jan-25
Eastern Equatoria,Torit,Nutrition,Save the Children International,SCI,INGO,Jan-25
Eastern Equatoria,Torit,Protection,CARE International,CARE,INGO,Jan-25
Eastern Equatoria,Torit,Protection,Caritas Torit South Sudan,Caritas Torit South Sudan,INGO,Jan-25
Eastern Equatoria,Torit,Protection,Farson for Better Tomorrow,Farson,NNGO,Jan-25
Eastern Equatoria,Torit,Protection,Group 4 Securicor,G4S,INGO,Jan-25
Eastern Equatoria,Torit,Protection,Health Link South Sudan,HLSS,NNGO,Jan-25
Eastern Equatoria,Torit,Protection,Impact Health Organization,IHO,NNGO,Jan-25
Eastern Equatoria,Torit,Protection,Peace and Development Partners,PDP,NNGO,Jan-25
Eastern Equatoria,Torit,Protection,The Development Initiative,TDI,NNGO,Jan-25
Eastern Equatoria,Torit,Protection,United Nations Children's Fund,UNICEF,UN,Jan-25
Eastern Equatoria,Torit,Protection,United Nations Mine Action Service,UNMAS,UN,Jan-25
Eastern Equatoria,Torit,Protection,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Eastern Equatoria,Torit,WASH,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Akobo,Education,Aid Link Organisation,ALO,NNGO,Jan-25
Jonglei,Akobo,Education,Aid Link Organization,ALO,NNGO,Jan-25
Jonglei,Akobo,FSL,Agency for Child Relief Aid,ACRA,NNGO,Jan-25
Jonglei,Akobo,FSL,Aid Link Organisation,ALO,NNGO,Jan-25
Jonglei,Akobo,FSL,Aid Link Organization,ALO,NNGO,Jan-25
Jonglei,Akobo,Health,Community Initiative for Development Organization,CIDO,NNGO,Jan-25
Jonglei,Akobo,Health,Save the Children International,SCI,INGO,Jan-25
Jonglei,Akobo,Health,Touch Africa Development Organization,TADO,NNGO,Jan-25
Jonglei,Akobo,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Akobo,Logistics,World Food Programme,WFP,UN,Jan-25
Jonglei,Akobo,Nutrition,Save the Children International,SCI,INGO,Jan-25
Jonglei,Akobo,Protection,Agency for Child Relief Aid,ACRA,NNGO,Jan-25
Jonglei,Akobo,Protection,Nile Hope,Nile Hope,NNGO,Jan-25
Jonglei,Akobo,Protection,Save the Children International,SCI,INGO,Jan-25
Jonglei,Akobo,Protection,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Akobo,WASH,Medical Incident for Field Health,Miffield Health,NNGO,Jan-25
Jonglei,Akobo,WASH,Oxfam International,OXFAM,INGO,Jan-25
Jonglei,Akobo,WASH,Save the Children International,SCI,INGO,Jan-25
Jonglei,Akobo,WASH,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Ayod,Education,Community in Need Aid,CINA,NNGO,Jan-25
Jonglei,Ayod,Health,Coalition for Humanity South Sudan,CHSS,NNGO,Jan-25
Jonglei,Ayod,Health,Inter-Church Medical Assistance World Health,Inter-Church Medical Assistance World Health,INGO,Jan-25
Jonglei,Ayod,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Ayod,Logistics,World Food Programme,WFP,UN,Jan-25
Jonglei,Ayod,Nutrition,Christian Mission for Development,CMD,NNGO,Jan-25
Jonglei,Ayod,Protection,Community Humanitarian Inter - Livelihoods and Emergency Focus,CHI,NNGO,Jan-25
Jonglei,Ayod,Protection,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Ayod,WASH,IMA World Health,IMA,INGO,Jan-25
Jonglei,Ayod,WASH,Medical Incident for Field Health,Miffield Health,NNGO,Jan-25
Jonglei,Ayod,WASH,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Bor South,Education,Community in Need Aid,CINA,NNGO,Jan-25
Jonglei,Bor South,Education,Community Support Initiative,CSI,NNGO,Jan-25
Jonglei,Bor South,Education,Save the Children International,SCI,INGO,Jan-25
Jonglei,Bor South,Health,Global Health and Humanitarian Action South Sudan,GHHA,NNGO,Jan-25
Jonglei,Bor South,Health,Sudan Medical Care,SMC,NNGO,Jan-25
Jonglei,Bor South,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Bor South,Logistics,International Organization for Migration,IOM,UN,Jan-25
Jonglei,Bor South,Logistics,World Food Programme,WFP,UN,Jan-25
Jonglei,Bor South,Nutrition,Save the Children International,SCI,INGO,Jan-25
Jonglei,Bor South,Protection,Africa Initiative for Rural Development,AIRD,NNGO,Jan-25
Jonglei,Bor South,Protection,Community in Need Aid,CINA,NNGO,Jan-25
Jonglei,Bor South,Protection,Crisis Resilience Initiative,CRI,NNGO,Jan-25
Jonglei,Bor South,Protection,Group 4 Securicor,G4S,INGO,Jan-25
Jonglei,Bor South,Protection,Rural Development Action Aid,RDAA,NNGO,Jan-25
Jonglei,Bor South,Protection,SafeLane Global,SLG,INGO,Jan-25
Jonglei,Bor South,Protection,United Nations Children's Fund,UNICEF,UN,Jan-25
Jonglei,Bor South,Protection,United Nations Mine Action Service,UNMAS,UN,Jan-25
Jonglei,Bor South,Protection,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Bor South,WASH,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Canal/Pigi,Health,International Medical Corps,IMC,INGO,Jan-25
Jonglei,Canal/Pigi,Health,Inter-Church Medical Assistance World Health,Inter-Church Medical Assistance World Health,INGO,Jan-25
Jonglei,Canal/Pigi,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Canal/Pigi,Logistics,World Food Programme,WFP,UN,Jan-25
Jonglei,Canal/Pigi,Nutrition,HealthCare Foundation Organization,HFO-SS,NNGO,Jan-25
Jonglei,Canal/Pigi,Nutrition,International Medical Corps,IMC,INGO,Jan-25
Jonglei,Canal/Pigi,Protection,Community Skills Development,CSD,NNGO,Jan-25
Jonglei,Canal/Pigi,Protection,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Canal/Pigi,WASH,IMA World Health,IMA,INGO,Jan-25
Jonglei,Canal/Pigi,WASH,Solidarités International,SI,INGO,Jan-25
Jonglei,Canal/Pigi,WASH,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Duk,Health,Global Health and Humanitarian Action South Sudan,GHHA,NNGO,Jan-25
Jonglei,Duk,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Duk,Logistics,World Food Programme,WFP,UN,Jan-25
Jonglei,Duk,Nutrition,Action Against Hunger,ACF,INGO,Jan-25
Jonglei,Duk,Protection,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Duk,WASH,Action Against Hunger,ACF,INGO,Jan-25
Jonglei,Duk,WASH,TEARFUND,TEARFUND,INGO,Jan-25
Jonglei,Duk,WASH,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Fangak,CCCM,United Nations High Commissioner for Refugees,UNHCR,UN,Jan-25
Jonglei,Fangak,Education,Community in Need Aid,CINA,NNGO,Jan-25
Jonglei,Fangak,FSL,Africa Development Aid,ADA,NNGO,Jan-25
Jonglei,Fangak,Health,Coalition for Humanity South Sudan,CHSS,NNGO,Jan-25
Jonglei,Fangak,Health,Christian Mission Aid,CMA,INGO,Jan-25
Jonglei,Fangak,Health,HealthCare Foundation Organization,HFO-SS,NNGO,Jan-25
Jonglei,Fangak,Health,Inter-Church Medical Assistance World Health,Inter-Church Medical Assistance World Health,INGO,Jan-25
Jonglei,Fangak,Health,World Relief,WR,INGO,Jan-25
Jonglei,Fangak,Logistics,World Food Programme,WFP,UN,Jan-25
Jonglei,Fangak,Nutrition,Action Against Hunger,ACF,INGO,Jan-25
Jonglei,Fangak,Nutrition,HealthCare Foundation Organization,HFO-SS,NNGO,Jan-25
Jonglei,Fangak,Protection,Africa Development Aid,ADA,NNGO,Jan-25
Jonglei,Fangak,Protection,Africa Initiative for Rural Development,AIRD,NNGO,Jan-25
Jonglei,Fangak,Protection,Community Skills Development,CSD,NNGO,Jan-25
Jonglei,Fangak,Protection,People's Initiative Development Organization,PIDO,NNGO,Jan-25
Jonglei,Fangak,Protection,United Nations Children's Fund,UNICEF,UN,Jan-25
Jonglei,Fangak,WASH,Action Against Hunger,ACF,INGO,Jan-25
Jonglei,Fangak,WASH,Africa Development Aid,ADA,NNGO,Jan-25
Jonglei,Fangak,WASH,Alaska Health Project South Sudan,AHPSS,INGO,Jan-25
Jonglei,Fangak,WASH,Christian Mission Aid,CMA,INGO,Jan-25
Jonglei,Fangak,WASH,IMA World Health,IMA,INGO,Jan-25
Jonglei,Fangak,WASH,Immediate Relief Mission Africa,IMMEDIATE RELIEF,NNGO,Jan-25
Jonglei,Nyirol,Health,Inter-Church Medical Assistance World Health,Inter-Church Medical Assistance World Health,INGO,Jan-25
Jonglei,Nyirol,Logistics,World Food Programme,WFP,UN,Jan-25
Jonglei,Nyirol,Nutrition,Christian Mission Aid,CMA,INGO,Jan-25
Jonglei,Nyirol,Protection,Christian Concern Development Trust,CDT,INGO,Jan-25
Jonglei,Nyirol,WASH,Christian Mission Aid,CMA,INGO,Jan-25
Jonglei,Nyirol,WASH,IMA World Health,IMA,INGO,Jan-25
Jonglei,Nyirol,WASH,Oxfam International,OXFAM,INGO,Jan-25
Jonglei,Pibor,Education,Community in Need Aid,CINA,NNGO,Jan-25
Jonglei,Pibor,FSL,Catholic Relief Services,CRS,INGO,Jan-25
Jonglei,Pibor,FSL,World Food Programme,WFP,UN,Jan-25
Jonglei,Pibor,Health,CARE International,CARE,INGO,Jan-25
Jonglei,Pibor,Health,Child Relief and Support Fund,CRSF,NNGO,Jan-25
Jonglei,Pibor,Health,For Afrika To Thrive,ForAfrika,INGO,Jan-25
Jonglei,Pibor,Health,MEDAIR,MEDAIR,INGO,Jan-25
Jonglei,Pibor,Logistics,World Food Programme,WFP,UN,Jan-25
Jonglei,Pibor,Nutrition,For Afrika To Thrive,ForAfrika,INGO,Jan-25
Jonglei,Pibor,Nutrition,MEDAIR,MEDAIR,INGO,Jan-25
Jonglei,Pibor,Protection,Community in Need Aid,CINA,NNGO,Jan-25
Jonglei,Pibor,Protection,Child Relief and Support Fund,CRSF,NNGO,Jan-25
Jonglei,Pibor,Protection,Grassroot Empowerment and Development Organization,GREDO,NNGO,Jan-25
Jonglei,Pibor,Protection,SafeLane Global,SLG,INGO,Jan-25
Jonglei,Pibor,Protection,United Nations Children's Fund,UNICEF,UN,Jan-25
Jonglei,Pibor,Protection,United Nations Mine Action Service,UNMAS,UN,Jan-25
Jonglei,Pibor,WASH,Action Against Hunger,ACF,INGO,Jan-25
Jonglei,Pibor,WASH,Child Relief and Support Fund,CRSF,NNGO,Jan-25
Jonglei,Pibor,WASH,For Afrika To Thrive,ForAfrika,INGO,Jan-25
Jonglei,Pibor,WASH,MEDAIR,MEDAIR,INGO,Jan-25
Jonglei,Pibor,WASH,Polish Humanitarian Action,PAH,INGO,Jan-25
Jonglei,Pochalla,FSL,Food and Agriculture Organization of the United Nations,FAO,UN,Jan-25
Jonglei,Pochalla,Logistics,World Food Programme,WFP,UN,Jan-25
Jonglei,Pochalla,Nutrition,TEARFUND,TEARFUND,INGO,Jan-25
Jonglei,Pochalla,Protection,ACT Alliance / Danish Church Aid,ACT Alliance/DCA,INGO,Jan-25
Jonglei,Pochalla,Protection,Youth Vision Development Foundation,YVDF,NNGO,Jan-25
Jonglei,Twic East,Education,Community in Need Aid,CINA,NNGO,Jan-25
Jonglei,Twic East,Logistics,World Food Programme,WFP,UN,Jan-25
Jonglei,Twic East,Nutrition,TEARFUND,TEARFUND,INGO,Jan-25
Jonglei,Twic East,SNFI,Reach Africa Organization,RAO,NNGO,Jan-25
Jonglei,Twic East,WASH,TEARFUND,TEARFUND,INGO,Jan-25
Jonglei,Uror,FSL,Food and Agriculture Organization of the United Nations,FAO,UN,Jan-25
Jonglei,Uror,Health,Environmental Action for Sustainable Development,EASD,NNGO,Jan-25
Jonglei,Uror,Health,Environmental Action for Sustainable Development.,EASD,NNGO,Jan-25
Jonglei,Uror,Health,Touch Africa Development Organization,TADO,NNGO,Jan-25
Jonglei,Uror,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Jonglei,Uror,Health,YOUR AID for HEALTH,YAH,NNGO,Jan-25
