location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,org_acronym,org_name,org_type_description,sector_code,sector_name,reference_period_start,reference_period_end
SDN,TRUE,TRUE,Aj Jazirah,Al Qurashi,SD15,Aj Jazirah,SD15037,Al Qurashi,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Qurashi,SD15,Aj Jazirah,SD15037,Al Qurashi,2,WHO,World Health Organization,United Nations,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Janub Al Jazirah,SD15,Aj Jazirah,SD15031,Janub Al Jazirah,2,ADD,Addition for Disasters assistance and Development,National NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Janub Al Jazirah,SD15,Aj Jazirah,SD15031,Janub Al Jazirah,2,DRC,Danish Refugee Council,International NGO,PRO-MIN,Mine Action,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Janub Al Jazirah,SD15,Aj Jazirah,SD15031,Janub Al Jazirah,2,MAS,Muslim Aid Sudan,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Janub Al Jazirah,SD15,Aj Jazirah,SD15031,Janub Al Jazirah,2,UNMAS,United Nations Mine Action Service,United Nations,PRO-MIN,Mine Action,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Janub Al Jazirah,SD15,Aj Jazirah,SD15031,Janub Al Jazirah,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Medani Al Kubra,SD15,Aj Jazirah,SD15030,Medani Al Kubra,2,ADD,Addition for Disasters assistance and Development,National NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Medani Al Kubra,SD15,Aj Jazirah,SD15030,Medani Al Kubra,2,DRC,Danish Refugee Council,International NGO,PRO-MIN,Mine Action,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Medani Al Kubra,SD15,Aj Jazirah,SD15030,Medani Al Kubra,2,MAS,Muslim Aid Sudan,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Medani Al Kubra,SD15,Aj Jazirah,SD15030,Medani Al Kubra,2,NADA,NADA Elazhar for Disaster Privention and Sustainable Development,National NGO,PRO-GBV,Gender Based Violence,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Medani Al Kubra,SD15,Aj Jazirah,SD15030,Medani Al Kubra,2,SFPA,Sudan Family Planning Association,National NGO,PRO-GBV,Gender Based Violence,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Medani Al Kubra,SD15,Aj Jazirah,SD15030,Medani Al Kubra,2,SORR,Sudanese Organisation for Relief and Recovery,National NGO,SHL,Emergency Shelter and NFI,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Medani Al Kubra,SD15,Aj Jazirah,SD15030,Medani Al Kubra,2,UNHCR,UN Refugee Agency,United Nations,SHL,Emergency Shelter and NFI,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Medani Al Kubra,SD15,Aj Jazirah,SD15030,Medani Al Kubra,2,UNICEF,United Nations Children's Fund,United Nations,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Medani Al Kubra,SD15,Aj Jazirah,SD15030,Medani Al Kubra,2,UNMAS,United Nations Mine Action Service,United Nations,PRO-MIN,Mine Action,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Medani Al Kubra,SD15,Aj Jazirah,SD15030,Medani Al Kubra,2,WAVs,We Are All Values,National NGO,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Medani Al Kubra,SD15,Aj Jazirah,SD15030,Medani Al Kubra,2,WES,Water Environmental Sanitation,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Medani Al Kubra,SD15,Aj Jazirah,SD15030,Medani Al Kubra,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Medani Al Kubra,SD15,Aj Jazirah,SD15030,Medani Al Kubra,2,WFP,World Food Programme,United Nations,LOG,Logistics,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Medani Al Kubra,SD15,Aj Jazirah,SD15030,Medani Al Kubra,2,WHO,World Health Organization,United Nations,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Sharg Al Jazirah,SD15,Aj Jazirah,SD15033,Sharg Al Jazirah,2,SCI,Save the Children International,International NGO,Cash,Cash programming,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Sharg Al Jazirah,SD15,Aj Jazirah,SD15033,Sharg Al Jazirah,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Um Algura,SD15,Aj Jazirah,SD15032,Um Algura,2,MAS,Muslim Aid Sudan,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Um Algura,SD15,Aj Jazirah,SD15032,Um Algura,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,ACF,Action Contre la Faim (Action Against Hunger),International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,ADRA,Adventist Development and Relief Agency,International NGO,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,ADRA,Adventist Development and Relief Agency,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,IAS,International Aid Services,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,IMC,International Medical Corps,International NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,IMC,International Medical Corps,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,LMI,LM International,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,MBC,Mutawinat Benevolent Company,National NGO,PRO,Protection,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,MEDAIR,MEDAIR,International NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,MEDAIR,MEDAIR,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,PHCO,Pan Health Care Organization,National NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,SSDO,Sudan Social Development Organization,National NGO,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,UNICEF,United Nations Children's Fund,United Nations,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,UNICEF,United Nations Children's Fund,United Nations,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,WES,Water Environmental Sanitation,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,WR,World Relief,International NGO,PRO,Protection,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,WVI,World Vision International,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,ADD,Addition for Disasters assistance and Development,National NGO,PRO,Protection,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,Al-SO,Al-Sadagat organization,National NGO,EDU,Education,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,CDO,Community Development Organization,National NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,CVO,Christian Vision Organization,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,CVO,Community Vision Organization,National NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,FAO,Food and Agriculture Organization,United Nations,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,IMC,International Medical Corps,International NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,IMC,International Medical Corps,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,IR,Islamic Relief Worldwide,International NGO,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,IRC,International Rescue Committee,International NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,IRC,International Rescue Committee,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,NORD,National Organization for Sustainable Rural Development,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,NORD,National Organization for Sustainable Rural Development,National NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,PHCO,Pan Health Care Organization,National NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,RI,Relief International,International NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,RI,Relief International,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,RI,Relief International,International NGO,PRO-CPN,Child Protection,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,RI,Relief International,International NGO,PRO-GBV,Gender Based Violence,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,RI,Relief International,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,UNHCR,UN Refugee Agency,United Nations,PRO,Protection,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,UNICEF,United Nations Children's Fund,United Nations,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,UNICEF,United Nations Children's Fund,United Nations,PRO-CPN,Child Protection,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,UNICEF,United Nations Children's Fund,United Nations,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,WR,World Relief,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,WVI,World Vision International,International NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Ar Rusayris,SD08,Blue Nile,SD08107,Ar Rusayris,2,WVI,World Vision International,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,At Tadamon - BN,SD08,Blue Nile,SD08108,At Tadamon - BN,2,ACF,Action Contre la Faim (Action Against Hunger),International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,At Tadamon - BN,SD08,Blue Nile,SD08108,At Tadamon - BN,2,UNICEF,United Nations Children's Fund,United Nations,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,At Tadamon - BN,SD08,Blue Nile,SD08108,At Tadamon - BN,2,WR,World Relief,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,At Tadamon - BN,SD08,Blue Nile,SD08108,At Tadamon - BN,2,WVI,World Vision International,International NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,CDF,Child Development Foundation,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,IMC,International Medical Corps,International NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,IMC,International Medical Corps,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,IRC,International Rescue Committee,International NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,IRC,International Rescue Committee,International NGO,PRO-GBV,Gender Based Violence,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,IRC,International Rescue Committee,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,MSF,Medecins Sans Frontieres,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,PHCO,Pan Health Care Organization,National NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,SCI,Save the Children International,International NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,UNICEF,United Nations Children's Fund,United Nations,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,UNICEF,United Nations Children's Fund,United Nations,PRO-CPN,Child Protection,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,UNICEF,United Nations Children's Fund,United Nations,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,WR,World Relief,International NGO,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,WR,World Relief,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Baw,SD08,Blue Nile,SD08104,Baw,2,WR,World Relief,International NGO,PRO,Protection,2025-01-01,2025-04-30
